Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfPersonVisiting,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,NumberOfTrips,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,ProdTaken
25,Self Enquiry,3,34,Salaried,Male,2,4,Deluxe,3,Married,3,0,4,1,1,Manager,23639,0
35,Self Enquiry,1,9,Salaried,Male,3,5,Deluxe,5,Divorced,8,0,4,0,2,Manager,24635,0
43,Self Enquiry,3,15,Small Business,Male,3,4,Deluxe,4,Divorced,2,0,3,0,2,Manager,25503,0
30,Self Enquiry,3,17,Small Business,Male,3,4,Basic,4,Married,3,0,2,0,2,Executive,20975,0
34,Company Invited,1,8,Salaried,Male,2,4,Deluxe,3,Divorced,2,0,4,0,0,Manager,24547,0
36,Self Enquiry,2,14,Salaried,Male,3,4,Basic,5,Divorced,1,0,2,1,2,Executive,17342,0
54,Self Enquiry,3,13,Small Business,Male,3,4,Deluxe,3,Married,4,1,5,0,2,Manager,20984,0
48,Self Enquiry,3,8,Small Business,Male,2,2,Deluxe,4,Divorced,4,0,3,1,0,Manager,23120,0
18,Company Invited,1,14,Small Business,Male,3,3,Basic,3,Single,2,0,5,1,0,Executive,16904,1
43,Self Enquiry,3,19,Small Business,Male,4,4,Deluxe,3,Married,5,1,1,0,1,Manager,23765,0
29,Company Invited,1,30,Salaried,Male,3,4,Basic,3,Single,2,1,3,1,2,Executive,17439,1
26,Self Enquiry,1,9,Salaried,Female,2,3,Basic,3,Married,2,0,3,1,1,Executive,17061,0
45,Self Enquiry,1,26,Small Business,Male,3,5,Standard,5,Married,3,1,3,0,0,Senior Manager,25851,0
32,Self Enquiry,3,9,Salaried,Male,4,4,Deluxe,3,Unmarried,6,1,5,1,2,Manager,25260,0
49,Self Enquiry,1,22,Salaried,Female,4,4,Basic,5,Married,2,0,1,1,1,Executive,21045,0
44,Self Enquiry,1,14,Salaried,Male,3,1,Basic,3,Divorced,3,1,3,1,2,Executive,17818,0
28,Company Invited,1,17,Salaried,Male,3,4,Standard,5,Married,3,0,3,1,1,Senior Manager,27471,0
27,Self Enquiry,1,24,Small Business,Male,4,6,Basic,3,Married,3,0,3,0,3,Executive,20983,0
45,Self Enquiry,1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,1,1,Senior Manager,24724,0
38,Self Enquiry,3,7,Salaried,Male,3,5,Standard,3,Married,7,0,1,1,2,Senior Manager,29287,1
41,Self Enquiry,1,9,Small Business,Female,4,4,Basic,3,Married,4,0,1,1,2,Executive,20679,0
54,Self Enquiry,1,8,Large Business,Female,2,3,Standard,3,Married,1,0,4,0,0,Senior Manager,28549,0
45,Self Enquiry,1,13,Salaried,Male,2,3,Standard,5,Married,3,0,3,0,0,Senior Manager,24724,0
22,Self Enquiry,1,17,Salaried,Female,3,5,Basic,5,Single,3,0,3,1,1,Executive,20094,1
33,Self Enquiry,1,15,Small Business,Female,4,2,Deluxe,3,Married,7,0,3,1,3,Manager,23853,0
39,Self Enquiry,1,7,Salaried,Female,3,4,Standard,3,Unmarried,6,1,2,0,2,Senior Manager,26539,0
44,Self Enquiry,1,15,Salaried,Female,4,4,Deluxe,3,Married,6,1,2,0,1,Manager,23200,0
46,Self Enquiry,1,36,Small Business,Male,3,4,Basic,3,Unmarried,7,0,1,1,1,Executive,22130,0
56,Self Enquiry,1,13,Large Business,Male,3,3,Basic,3,Married,1,0,4,1,2,Executive,17339,1
53,Self Enquiry,1,13,Large Business,Male,4,4,Deluxe,5,Married,5,1,4,1,3,Manager,24255,0
52,Self Enquiry,1,7,Salaried,Male,4,4,Basic,3,Divorced,3,0,4,1,1,Executive,21401,0
43,Self Enquiry,1,18,Salaried,Male,2,4,Super Deluxe,4,Married,2,0,3,1,1,AVP,29336,0
40,Company Invited,1,32,Small Business,Female,2,3,Deluxe,4,Married,2,0,2,1,0,Manager,20605,0
60,Self Enquiry,1,9,Salaried,Female,4,5,Super Deluxe,3,Single,5,1,5,0,3,AVP,32404,0
58,Self Enquiry,1,8,Salaried,Male,2,3,King,4,Single,1,1,3,1,0,VP,34246,1
34,Company Invited,3,23,Salaried,Female,3,4,Deluxe,3,Married,3,1,1,0,1,Manager,24046,0
45,Company Invited,3,7,Small Business,Female,4,4,Deluxe,3,Divorced,2,0,4,1,2,Manager,23446,0
51,Company Invited,3,7,Salaried,Male,3,4,Deluxe,3,Unmarried,5,1,1,1,2,Manager,23406,1
39,Self Enquiry,1,15,Small Business,Male,2,3,Deluxe,5,Married,2,0,4,1,0,Manager,20151,0
34,Self Enquiry,1,12,Salaried,Female,4,5,Basic,3,Married,3,0,1,0,1,Executive,21589,0
39,Self Enquiry,1,9,Small Business,Male,4,4,Basic,3,Married,8,1,4,0,3,Executive,21735,0
47,Self Enquiry,1,8,Salaried,Female,2,3,Super Deluxe,3,Married,2,1,4,1,0,AVP,31752,0
27,Company Invited,3,14,Salaried,Male,2,3,Standard,3,Unmarried,2,0,1,1,0,Senior Manager,23726,0
43,Self Enquiry,2,9,Large Business,Male,3,4,Basic,3,Married,2,1,4,1,2,Executive,21374,0
39,Self Enquiry,1,9,Salaried,Male,3,4,Deluxe,3,Married,2,0,1,1,2,Manager,25231,0
58,Self Enquiry,3,27,Salaried,Female,3,3,Super Deluxe,3,Married,5,1,5,1,0,AVP,32875,0
43,Self Enquiry,1,7,Salaried,Female,3,5,Deluxe,3,Divorced,2,1,3,0,2,Manager,24740,0
34,Self Enquiry,1,21,Small Business,Male,3,4,Basic,3,Divorced,7,1,2,0,2,Executive,21114,1
46,Self Enquiry,3,6,Salaried,Male,2,1,Super Deluxe,5,Single,2,0,4,1,1,AVP,32567,0
45,Self Enquiry,3,17,Salaried,Female,2,3,Super Deluxe,3,Divorced,4,0,4,1,1,AVP,32650,0
35,Self Enquiry,1,22,Salaried,Male,3,3,Standard,3,Married,5,1,1,0,0,Senior Manager,22632,0
31,Self Enquiry,3,13,Salaried,Male,2,4,Basic,3,Married,4,0,4,1,1,Executive,17329,0
53,Company Invited,3,127,Salaried,Male,3,4,Basic,3,Married,4,0,1,1,2,Executive,22160,0
43,Self Enquiry,1,8,Small Business,Female,3,2,Basic,3,Married,2,0,2,0,1,Executive,17645,0
31,Company Invited,1,7,Small Business,Female,3,4,Deluxe,3,Unmarried,3,0,3,1,1,Manager,22689,0
36,Self Enquiry,3,9,Small Business,Female,4,4,Basic,3,Married,3,0,1,1,3,Executive,20692,0
49,Self Enquiry,1,22,Small Business,Female,3,3,Basic,5,Married,5,1,1,1,1,Executive,17587,0
44,Self Enquiry,3,16,Small Business,Female,3,6,Deluxe,3,Unmarried,2,0,2,1,2,Manager,24024,1
28,Self Enquiry,1,26,Salaried,Male,4,5,Basic,5,Married,3,0,1,0,1,Executive,22744,0
43,Company Invited,1,27,Small Business,Male,3,3,Basic,3,Divorced,1,0,4,0,2,Executive,17258,0
41,Self Enquiry,1,9,Small Business,Female,3,5,Basic,3,Single,2,1,3,0,1,Executive,21020,0
42,Self Enquiry,3,20,Small Business,Female,3,4,Deluxe,3,Single,1,0,3,0,0,Manager,21244,0
38,Company Invited,1,7,Small Business,Female,2,4,Standard,3,Married,4,1,3,0,1,Senior Manager,32281,0
21,Self Enquiry,3,28,Small Business,Male,3,2,Basic,3,Unmarried,3,0,3,0,1,Executive,21356,0
30,Self Enquiry,1,30,Salaried,Male,3,2,Basic,3,Married,3,0,1,1,2,Executive,21378,0
29,Self Enquiry,3,6,Small Business,Female,2,4,Basic,3,Married,7,1,2,0,1,Executive,17800,1
37,Self Enquiry,1,31,Small Business,Female,2,4,Deluxe,3,Married,1,0,3,1,0,Manager,20731,0
49,Company Invited,1,8,Salaried,Male,2,3,King,3,Married,4,0,3,1,0,VP,34161,0
33,Company Invited,3,22,Salaried,Female,2,3,Deluxe,3,Married,2,1,1,0,0,Manager,20368,0
34,Self Enquiry,3,27,Salaried,Male,3,2,Deluxe,3,Single,2,0,3,1,0,Manager,20337,0
29,Self Enquiry,3,16,Small Business,Female,2,4,Deluxe,4,Married,2,1,5,1,0,Manager,23268,0
35,Company Invited,1,8,Salaried,Female,3,3,Deluxe,5,Married,3,0,4,1,2,Manager,20093,0
32,Company Invited,3,11,Salaried,Male,2,3,Deluxe,4,Divorced,2,0,3,1,1,Manager,21524,0
46,Self Enquiry,3,27,Salaried,Female,3,4,Deluxe,3,Unmarried,2,0,1,1,1,Manager,23528,0
33,Self Enquiry,1,10,Small Business,Female,2,4,Basic,4,Married,7,0,4,0,1,Executive,17622,0
37,Self Enquiry,1,13,Salaried,Female,3,3,Deluxe,3,Divorced,5,0,2,0,1,Manager,21716,0
38,Self Enquiry,2,13,Salaried,Male,4,4,Basic,5,Married,6,1,2,1,1,Executive,20751,1
37,Company Invited,1,25,Salaried,Male,4,4,Deluxe,3,Unmarried,4,0,3,0,2,Manager,26457,0
35,Self Enquiry,3,16,Salaried,Female,4,4,Deluxe,3,Divorced,3,0,2,1,3,Manager,24392,0
58,Self Enquiry,1,7,Salaried,Male,4,2,Deluxe,3,Divorced,2,0,3,1,3,Manager,23578,0
46,Self Enquiry,3,16,Small Business,Female,3,4,Standard,3,Married,3,1,1,0,0,Senior Manager,24071,0
36,Self Enquiry,1,15,Small Business,Male,2,4,Deluxe,4,Married,3,1,4,1,0,Manager,23847,0
39,Self Enquiry,1,7,Large Business,Female,4,4,Standard,5,Divorced,3,0,4,1,3,Senior Manager,32260,0
31,Company Invited,1,12,Small Business,Female,3,4,Basic,4,Single,2,0,3,0,1,Executive,21100,1
39,Company Invited,1,9,Small Business,Female,4,5,Basic,4,Married,6,0,3,0,1,Executive,21146,0
21,Self Enquiry,1,7,Salaried,Female,3,5,Basic,4,Unmarried,3,0,4,1,1,Executive,21514,0
23,Company Invited,1,11,Large Business,Male,3,5,Basic,3,Unmarried,7,0,5,1,1,Executive,22572,1
26,Self Enquiry,3,33,Small Business,Female,3,4,Deluxe,3,Unmarried,3,0,4,0,1,Manager,24858,0
30,Self Enquiry,1,22,Salaried,Male,2,1,Deluxe,3,Married,4,0,1,1,0,Manager,20294,0
33,Self Enquiry,3,14,Salaried,Male,4,5,Deluxe,3,Married,3,0,3,1,1,Manager,24162,0
30,Self Enquiry,1,14,Salaried,Male,3,4,Basic,5,Single,5,0,4,0,1,Executive,20740,0
57,Self Enquiry,1,30,Salaried,Male,2,2,Standard,3,Married,4,1,4,1,1,Senior Manager,24439,0
53,Self Enquiry,1,13,Salaried,Male,2,1,Super Deluxe,3,Married,4,0,1,0,1,AVP,29814,0
45,Self Enquiry,2,7,Small Business,Male,4,5,Standard,5,Married,2,0,4,1,1,Senior Manager,29160,1
39,Self Enquiry,1,16,Salaried,Female,4,4,Basic,3,Single,3,0,1,1,3,Executive,20966,0
32,Self Enquiry,3,27,Salaried,Female,4,6,Deluxe,3,Divorced,5,1,3,1,1,Manager,23237,1
54,Self Enquiry,3,9,Salaried,Female,4,5,Super Deluxe,3,Married,4,0,3,0,1,AVP,34105,0
24,Self Enquiry,3,9,Large Business,Male,4,4,Basic,5,Married,5,0,3,1,2,Executive,21000,0
27,Self Enquiry,1,10,Small Business,Male,3,2,Basic,3,Divorced,3,0,5,1,2,Executive,23098,0
43,Company Invited,1,15,Salaried,Male,2,3,Basic,3,Single,5,0,3,0,1,Executive,17438,0
29,Self Enquiry,1,7,Salaried,Male,3,4,Basic,3,Married,3,0,1,0,1,Executive,20722,0
42,Self Enquiry,3,16,Salaried,Male,4,4,Standard,3,Married,5,1,1,0,2,Senior Manager,26867,0
35,Company Invited,3,13,Small Business,Female,3,6,Basic,3,Married,2,0,4,1,2,Executive,21029,1
58,Self Enquiry,1,29,Small Business,Female,3,3,Standard,3,Married,2,0,3,1,0,Senior Manager,25312,1
46,Self Enquiry,3,11,Salaried,Female,2,4,Deluxe,5,Married,6,1,4,0,1,Manager,23684,0
30,Company Invited,3,20,Large Business,Female,3,4,Deluxe,4,Unmarried,7,0,3,0,2,Manager,24443,1
39,Self Enquiry,1,36,Large Business,Male,3,4,Deluxe,3,Married,5,0,1,0,1,Manager,24939,0
34,Self Enquiry,1,16,Small Business,Male,3,4,Basic,3,Married,2,0,1,0,2,Executive,21459,0
57,Company Invited,1,16,Small Business,Female,4,4,Basic,3,Married,4,0,1,1,1,Executive,21620,0
36,Self Enquiry,1,13,Salaried,Male,3,6,Deluxe,3,Unmarried,3,0,5,0,2,Manager,25324,0
47,Self Enquiry,3,17,Small Business,Female,4,5,Standard,3,Married,4,1,1,0,1,Senior Manager,27749,0
30,Company Invited,2,14,Salaried,Female,3,4,Basic,3,Married,7,0,5,1,2,Executive,17180,1
54,Company Invited,1,17,Small Business,Female,2,3,Super Deluxe,3,Married,4,0,3,1,0,AVP,31032,0
49,Self Enquiry,1,24,Salaried,Male,2,4,King,3,Married,2,1,3,0,1,VP,34502,0
39,Company Invited,1,17,Small Business,Male,4,4,Basic,3,Divorced,2,0,5,0,3,Executive,21362,0
51,Self Enquiry,1,35,Small Business,Male,4,3,Basic,3,Divorced,3,1,2,1,3,Executive,21899,0
28,Company Invited,1,31,Salaried,Male,4,5,Basic,3,Single,3,1,3,1,2,Executive,21212,1
27,Self Enquiry,1,9,Small Business,Male,3,5,Basic,3,Unmarried,2,0,3,0,1,Executive,22582,0
37,Self Enquiry,1,9,Salaried,Male,2,3,Standard,3,Divorced,2,0,2,1,0,Senior Manager,24434,0
26,Self Enquiry,3,12,Small Business,Male,3,5,Deluxe,3,Unmarried,3,1,3,0,2,Manager,24422,1
60,Self Enquiry,1,13,Salaried,Female,2,3,King,5,Married,6,0,5,1,0,VP,34566,0
33,Company Invited,3,12,Salaried,Male,3,4,Deluxe,4,Divorced,3,0,3,1,2,Manager,25202,0
36,Self Enquiry,1,7,Small Business,Male,3,5,Basic,3,Divorced,8,0,2,1,2,Executive,20936,0
33,Self Enquiry,3,11,Small Business,Female,2,3,Basic,3,Single,2,1,2,1,0,Executive,17851,1
25,Self Enquiry,1,24,Salaried,Female,4,4,Basic,4,Married,3,0,1,1,3,Executive,20888,1
36,Self Enquiry,1,12,Salaried,Male,2,3,Basic,3,Divorced,1,0,5,1,1,Executive,18210,0
35,Self Enquiry,1,13,Salaried,Female,3,5,Deluxe,4,Married,8,0,3,0,2,Manager,23183,0
38,Self Enquiry,1,9,Salaried,Male,4,5,Basic,3,Single,8,1,3,0,3,Executive,20768,1
50,Self Enquiry,3,6,Small Business,Female,3,3,King,3,Married,4,0,2,1,1,VP,34517,0
37,Company Invited,3,6,Small Business,Male,2,5,Deluxe,3,Married,2,0,1,0,1,Manager,24525,0
29,Self Enquiry,1,17,Salaried,Female,3,4,Deluxe,3,Unmarried,5,0,4,1,2,Manager,22338,0
33,Self Enquiry,3,15,Small Business,Male,3,2,Deluxe,3,Divorced,3,0,5,0,1,Manager,24887,0
51,Self Enquiry,3,30,Small Business,Female,2,4,Deluxe,4,Single,1,1,5,1,1,Manager,17838,1
45,Self Enquiry,1,11,Small Business,Male,3,4,Deluxe,4,Unmarried,2,0,2,1,1,Manager,24611,0
21,Self Enquiry,3,13,Small Business,Male,2,3,Basic,4,Single,2,0,5,1,1,Executive,17679,1
32,Company Invited,3,9,Salaried,Female,3,4,Standard,3,Married,3,1,1,1,1,Senior Manager,28530,0
33,Self Enquiry,3,7,Small Business,Female,3,4,Standard,3,Married,3,0,5,1,1,Senior Manager,29100,0
26,Self Enquiry,3,17,Salaried,Male,3,4,Deluxe,3,Unmarried,2,0,1,1,1,Manager,23628,0
38,Company Invited,1,16,Small Business,Male,3,3,Basic,3,Divorced,1,0,5,0,2,Executive,17684,0
40,Self Enquiry,3,10,Small Business,Female,3,4,Deluxe,3,Married,6,1,4,1,2,Manager,23916,1
24,Company Invited,1,13,Salaried,Female,2,3,Basic,3,Married,2,1,4,0,0,Executive,17886,1
32,Self Enquiry,3,14,Salaried,Male,3,5,Standard,3,Married,2,0,3,1,1,Senior Manager,30235,0
37,Self Enquiry,1,13,Small Business,Male,1,3,Standard,3,Single,5,0,1,0,0,Senior Manager,28664,0
34,Self Enquiry,1,21,Small Business,Male,3,4,Basic,3,Married,7,1,1,1,2,Executive,21114,1
36,Company Invited,1,32,Salaried,Female,4,4,Basic,4,Married,3,1,3,0,1,Executive,20700,1
31,Self Enquiry,3,36,Salaried,Male,4,4,Deluxe,5,Married,2,0,1,1,1,Manager,22793,0
34,Company Invited,3,17,Small Business,Male,3,5,Deluxe,3,Unmarried,5,0,3,1,1,Manager,23360,0
26,Self Enquiry,1,10,Small Business,Male,4,4,Basic,5,Married,7,0,5,1,2,Executive,22709,1
19,Self Enquiry,3,11,Salaried,Male,3,3,Standard,4,Single,1,1,4,1,0,Senior Manager,17994,1
48,Company Invited,1,6,Small Business,Male,2,1,Super Deluxe,3,Single,3,0,1,0,0,AVP,31885,0
54,Self Enquiry,3,9,Small Business,Female,2,3,Deluxe,5,Married,3,0,4,1,0,Manager,20940,0
26,Self Enquiry,1,30,Large Business,Male,3,5,Basic,3,Single,2,1,3,0,1,Executive,17340,1
45,Self Enquiry,2,30,Small Business,Male,2,3,Basic,4,Single,2,0,4,0,0,Executive,17177,0
31,Self Enquiry,1,31,Salaried,Male,4,4,Basic,3,Married,3,0,2,0,2,Executive,21371,0
29,Self Enquiry,2,19,Salaried,Male,2,4,Basic,5,Married,5,1,5,1,1,Executive,17335,1
22,Self Enquiry,1,7,Large Business,Female,4,5,Basic,4,Single,3,1,5,1,2,Executive,20748,0
43,Company Invited,1,16,Salaried,Female,2,4,Deluxe,3,Married,2,0,3,0,0,Manager,20257,0
42,Company Invited,2,8,Small Business,Male,3,1,Deluxe,5,Divorced,1,0,2,0,2,Manager,21272,0
55,Self Enquiry,1,16,Salaried,Female,4,4,Deluxe,3,Married,5,0,5,0,2,Manager,21575,0
52,Self Enquiry,1,9,Small Business,Male,3,6,Deluxe,4,Married,7,0,2,0,1,Manager,24160,0
19,Self Enquiry,3,28,Small Business,Male,2,3,Basic,3,Single,2,1,1,1,0,Executive,16675,1
23,Self Enquiry,1,15,Small Business,Male,2,3,Basic,5,Divorced,2,0,3,0,1,Executive,17500,0
38,Company Invited,3,28,Small Business,Female,3,4,Basic,3,Divorced,7,0,2,1,2,Executive,21651,0
35,Self Enquiry,1,14,Salaried,Male,4,4,Deluxe,3,Married,3,0,3,0,1,Manager,21263,1
48,Self Enquiry,1,10,Salaried,Male,3,4,Standard,3,Unmarried,1,0,5,1,0,Senior Manager,25999,0
26,Self Enquiry,1,22,Small Business,Male,2,3,Basic,4,Married,3,1,2,1,1,Executive,17373,1
36,Self Enquiry,1,28,Salaried,Female,3,4,Deluxe,3,Divorced,3,1,3,0,2,Manager,22692,0
33,Self Enquiry,1,15,Small Business,Female,4,2,Deluxe,3,Divorced,7,0,3,1,3,Manager,23853,0
39,Company Invited,3,9,Salaried,Male,3,5,Deluxe,3,Divorced,5,0,5,1,2,Manager,23927,0
42,Company Invited,3,32,Small Business,Female,3,3,Super Deluxe,4,Divorced,6,0,3,1,2,AVP,28525,0
29,Self Enquiry,3,9,Small Business,Female,3,4,Deluxe,4,Married,3,1,3,1,2,Manager,23457,0
31,Self Enquiry,1,10,Large Business,Female,3,4,Basic,5,Unmarried,7,1,4,1,2,Executive,21335,1
36,Self Enquiry,3,16,Large Business,Female,3,4,Deluxe,3,Married,2,1,1,1,2,Manager,20673,0
38,Self Enquiry,1,6,Salaried,Female,2,3,Standard,3,Unmarried,5,1,1,0,1,Senior Manager,22861,0
37,Self Enquiry,3,17,Large Business,Female,4,5,Deluxe,3,Married,3,1,1,1,3,Manager,24351,0
33,Self Enquiry,1,6,Small Business,Female,3,2,Super Deluxe,3,Married,5,0,2,0,2,AVP,31184,0
46,Self Enquiry,1,15,Salaried,Male,4,4,Deluxe,3,Married,2,0,3,1,1,Manager,22375,0
38,Self Enquiry,1,7,Salaried,Female,4,4,Deluxe,4,Divorced,8,0,2,1,2,Manager,25125,0
34,Self Enquiry,3,15,Small Business,Male,3,4,Deluxe,3,Married,2,0,2,1,2,Manager,25782,0
34,Self Enquiry,1,15,Salaried,Male,2,3,Standard,3,Married,1,0,5,1,1,Senior Manager,23500,0
49,Self Enquiry,3,23,Salaried,Female,4,4,Deluxe,3,Married,2,0,4,1,1,Manager,25117,0
19,Self Enquiry,1,9,Small Business,Female,3,3,Basic,4,Single,2,0,3,1,0,Executive,16483,0
39,Self Enquiry,2,7,Salaried,Male,3,2,Basic,3,Divorced,3,0,4,1,1,Executive,21522,0
32,Self Enquiry,1,14,Small Business,Female,3,4,Standard,3,Unmarried,3,1,4,1,2,Senior Manager,25821,0
35,Self Enquiry,3,15,Large Business,Male,4,2,Deluxe,3,Married,3,0,1,0,3,Manager,25477,0
43,Company Invited,1,23,Large Business,Male,2,4,Basic,3,Married,1,1,5,1,1,Executive,17437,1
44,Self Enquiry,1,16,Salaried,Male,3,3,Basic,3,Single,2,1,3,1,0,Executive,17936,1
35,Self Enquiry,1,22,Salaried,Male,3,3,Standard,3,Divorced,5,1,2,0,1,Senior Manager,22632,0
51,Self Enquiry,1,24,Salaried,Female,3,5,Standard,5,Married,7,0,3,1,1,Senior Manager,31947,0
39,Self Enquiry,3,12,Small Business,Male,2,1,Standard,3,Married,3,0,4,1,1,Senior Manager,23237,0
28,Company Invited,1,10,Small Business,Male,4,5,Basic,3,Married,3,1,2,0,3,Executive,21244,0
33,Self Enquiry,1,11,Salaried,Female,3,4,Basic,3,Divorced,2,0,2,0,2,Executive,17911,0
38,Self Enquiry,3,16,Small Business,Male,3,5,Deluxe,4,Married,3,0,4,0,2,Manager,22867,0
39,Self Enquiry,1,16,Small Business,Male,2,3,Super Deluxe,5,Divorced,2,1,3,1,1,AVP,32068,0
41,Self Enquiry,3,21,Salaried,Female,3,4,Deluxe,5,Married,3,0,3,0,2,Manager,23317,0
26,Self Enquiry,1,8,Small Business,Male,2,1,Deluxe,3,Married,2,0,3,1,1,Manager,20472,0
43,Self Enquiry,3,10,Small Business,Female,2,4,Standard,3,Unmarried,4,0,3,1,0,Senior Manager,25231,0
41,Self Enquiry,1,9,Small Business,Female,4,5,Deluxe,3,Married,8,0,5,1,2,Manager,22126,0
27,Company Invited,1,18,Small Business,Male,3,4,Deluxe,5,Divorced,3,1,3,1,2,Manager,23419,0
38,Self Enquiry,1,7,Salaried,Female,3,4,Basic,3,Single,3,0,1,1,1,Executive,20793,0
29,Self Enquiry,3,16,Salaried,Male,3,3,Basic,3,Single,2,0,4,1,0,Executive,17642,0
50,Self Enquiry,1,16,Large Business,Male,3,4,Standard,3,Unmarried,7,0,5,1,1,Senior Manager,25496,0
46,Self Enquiry,1,36,Large Business,Male,3,4,Standard,3,Divorced,6,1,5,1,1,Senior Manager,28058,0
38,Self Enquiry,3,15,Small Business,Male,3,4,Basic,4,Married,1,0,4,0,2,Executive,17899,0
33,Company Invited,1,23,Salaried,Female,4,6,Basic,5,Unmarried,3,1,4,1,3,Executive,22597,1
36,Self Enquiry,1,20,Salaried,Male,3,3,Deluxe,3,Divorced,1,1,5,1,2,Manager,21586,0
27,Company Invited,1,7,Small Business,Female,4,5,Basic,3,Married,3,0,2,1,1,Executive,20685,0
37,Self Enquiry,3,7,Salaried,Male,3,4,Deluxe,3,Married,3,1,3,1,2,Manager,24879,0
35,Company Invited,1,9,Salaried,Male,4,4,Deluxe,3,Unmarried,4,0,4,1,2,Manager,22711,0
32,Self Enquiry,1,9,Small Business,Female,3,3,Deluxe,5,Married,2,0,1,1,0,Manager,21725,0
43,Self Enquiry,3,11,Small Business,Male,3,4,Deluxe,5,Unmarried,2,0,5,1,1,Manager,23833,0
52,Self Enquiry,1,16,Salaried,Male,4,4,Basic,3,Married,5,0,3,1,1,Executive,20753,0
56,Self Enquiry,3,7,Salaried,Male,4,4,Standard,3,Married,5,0,1,0,3,Senior Manager,28917,0
23,Self Enquiry,3,8,Large Business,Male,3,3,Basic,5,Married,4,0,3,1,2,Executive,17322,0
44,Company Invited,2,6,Salaried,Male,2,3,Deluxe,3,Married,5,1,5,1,1,Manager,20743,0
29,Company Invited,1,7,Small Business,Male,3,4,Basic,3,Single,2,1,4,0,1,Executive,20832,0
34,Company Invited,1,13,Salaried,Male,3,5,Deluxe,3,Single,2,1,5,1,0,Manager,21074,1
36,Company Invited,1,30,Salaried,Female,2,3,Deluxe,4,Divorced,1,0,3,0,0,Manager,20674,0
39,Self Enquiry,3,7,Salaried,Female,3,5,Deluxe,3,Unmarried,6,0,1,0,2,Manager,27364,0
30,Self Enquiry,3,17,Salaried,Male,4,4,Basic,3,Unmarried,3,0,4,1,1,Executive,21320,0
40,Company Invited,3,27,Salaried,Male,3,4,Deluxe,3,Married,4,0,3,1,1,Manager,22805,0
28,Self Enquiry,1,30,Salaried,Male,2,4,Basic,3,Single,6,1,2,0,0,Executive,17028,1
29,Self Enquiry,1,29,Salaried,Male,2,1,Basic,3,Divorced,2,0,2,1,1,Executive,17700,0
26,Self Enquiry,1,13,Small Business,Female,2,4,Standard,5,Married,1,1,4,1,1,Senior Manager,17875,1
38,Self Enquiry,1,21,Salaried,Female,4,4,Basic,5,Married,3,0,4,1,2,Executive,21712,0
37,Company Invited,3,18,Large Business,Female,4,4,Standard,3,Married,2,0,5,0,3,Senior Manager,28416,0
38,Self Enquiry,1,6,Salaried,Female,2,3,Basic,5,Single,4,0,1,0,1,Executive,17619,0
53,Company Invited,1,35,Small Business,Female,3,2,Super Deluxe,3,Divorced,4,1,4,0,1,AVP,31925,0
40,Self Enquiry,1,12,Salaried,Female,3,3,Super Deluxe,3,Unmarried,1,0,5,1,2,AVP,28237,0
41,Self Enquiry,3,29,Salaried,Male,3,3,Standard,3,Unmarried,4,1,3,0,2,Senior Manager,22082,0
29,Company Invited,2,7,Salaried,Male,3,4,Basic,3,Married,3,0,4,0,2,Executive,21384,0
35,Company Invited,1,10,Salaried,Male,2,4,Basic,3,Married,2,0,1,1,1,Executive,17376,0
43,Company Invited,3,32,Salaried,Male,3,3,Super Deluxe,3,Married,2,1,1,1,0,AVP,31959,0
24,Self Enquiry,1,23,Salaried,Male,3,4,Basic,4,Divorced,2,0,3,1,1,Executive,17127,0
54,Self Enquiry,3,31,Salaried,Male,4,4,Standard,5,Single,8,1,3,1,3,Senior Manager,29126,1
31,Self Enquiry,1,7,Small Business,Male,4,4,Basic,4,Married,3,0,5,0,2,Executive,22426,0
36,Self Enquiry,1,29,Salaried,Female,4,2,Standard,4,Married,2,0,5,1,3,Senior Manager,30674,0
23,Company Invited,1,33,Salaried,Female,3,5,Basic,3,Married,3,1,3,0,1,Executive,21492,0
23,Self Enquiry,1,10,Salaried,Female,3,4,Deluxe,3,Married,2,1,5,1,2,Manager,22849,1
37,Self Enquiry,1,7,Salaried,Female,3,4,Deluxe,4,Divorced,2,0,5,0,1,Manager,23906,0
34,Self Enquiry,1,9,Small Business,Male,4,4,Basic,3,Single,6,0,3,1,3,Executive,21174,0
35,Company Invited,1,10,Salaried,Male,3,5,Basic,3,Divorced,5,0,2,1,1,Executive,21657,0
26,Self Enquiry,1,12,Salaried,Female,3,3,Basic,3,Divorced,2,1,2,0,0,Executive,17659,0
29,Company Invited,1,8,Small Business,Male,2,4,Basic,5,Single,1,0,4,1,1,Executive,18339,1
47,Self Enquiry,1,14,Small Business,Male,4,4,Standard,3,Married,8,0,2,0,3,Senior Manager,29523,0
35,Self Enquiry,3,16,Small Business,Male,2,4,Standard,5,Married,1,0,5,1,1,Senior Manager,25306,1
30,Self Enquiry,1,14,Salaried,Male,3,4,Deluxe,3,Married,3,1,3,0,1,Manager,25301,0
50,Self Enquiry,1,8,Small Business,Male,3,3,King,3,Married,3,1,1,1,2,VP,34237,0
